,x,jmw,
14,"A cross-linguistic study of the development of answering systems to yes–no questions was conducted, with particular emphasis on the answering systems for negative questions (e.g., ""Wasn't John at the party?""). In English, the answer depends on the underlying affirmative proposition of the question, using a positive/negative (P/N) system, whereas in Korean it depends on the surface form, using an agreement/disagreement (A/D) system. French uses the P/N system for true negative (TN) questions, but a contrapositive form for false negative (FN) questions. Longitudinal and cross-sectional studies of children between 1 yr 7 mo and 3 yrs 3 mo show that, across the 3 languages, children go through 3 similar developmental stages before they acquire the adult system. Language-specific phenomena include difficulty in using the A/D system for FN questions by Korean children and late acquisition of the contrapositive form by French children. Results suggest that universal cognitive development, pragmatic factors, and language-specific input interact in the development of the question-answering system. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
15,"Background: Subjective memory complaints are a requirement in the diagnosis of mild cognitive impairment (MCI) as they are thought to indicate a decline in objective memory performance. However, recent research suggests that the relationship between subjective memory complaint and objective memory impairment is less clear. Thus, it is possible that many people without subjective memory complaints who develop Alzheimer's disease are precluded from a diagnosis of MCI. Methods: The present study examined the relationship between subjective memory complaint assessed using the Multifactorial Memory Questionnaire (MMQ) and objective memory impairment assessed using standard neuropsychological measures in cases of amnestic MCI (n = 48), non-amnestic MCI (n = 27), and unimpaired healthy participants (n = 64). Results: Correlational and regression analyses indicated that subjective memory complaints displayed a poor relationship with objective memory performance. A subsequent discriminant function analysis indicated that subjective memory complaints failed to improve the diagnostic accuracy of MCI and resulted in increased rates of false negative and false positive diagnoses. Conclusion: The results of the present study suggest that a diagnostic criterion of subjective memory complaint reduces the accuracy of MCI diagnosis, resulting in an elevated rate of false positive and false negative diagnoses. The results of this study in conjunction with recent research indicate that a criterion of subjective memory complaint should be discarded from emerging diagnostic criteria for MCI. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)",0,
16,"Comments on an article by S. A. Meda et al. (see record [rid]2012-06484-001[/rid]). Meda et al. have reported an interesting and technically advanced study that seeks to explore the relationships between species of psychosis at the level of brain systems or networks. In doing so, they carry forward another seminal concept that has been in the background of psychiatry since the 19th century: the idea, arguably originating with Meynert and Wernicke, that psychotic disorders arise from a disruption of connections between different brain regions. In their study, Meda et al. measured brain functional networks using resting state functional magnetic resonance imaging (fMRI) in a sample comprising patients with bipolar disorder, patients with schizophrenia, the first-degree relatives of both patient groups, and healthy volunteers. This was a relatively large and carefully characterized sample for an fMRI-based investigation, which is one of the fundamental strengths of the study. The resting state fMRI measurements from each participant were first analyzed using independent component analysis to define 16 large-scale brain networks, so-called resting state networks (RSNs). On this basis, Meda et al. explored differences of Internetwork coupling in the relatives compared with healthy volunteers, predicting that if the network abnormalities in patients were markers of genetic risk, they should be evident also in the first-degree relatives of patients. This prediction was partly supported by the data: the relatives of patients with bipolar disorder showed abnormalities of between-network connectivity that largely overlapped with the profile seen in bipolar patients. However, there were no significant abnormalities of network organization demonstrated in the relatives of patients with schizophrenia. The study by Meda et al. is an important proof of principle. It demonstrates the utility and feasibility of using resting state fMRI measurements to find diagnostically cross-cutting biomarkers that represent commonality of brain disorganization across nosologically distinct species of disorder. It thus stands as an example of the ambition to progressively refine and enrich, possibly to reconstruct, diagnostic systems in psychiatry by making greater use of biological data. Sample composition and sample size are always important considerations. The study by Meda et al. is unusually large and carefully composed, certainly by the general standard of fMRI research in psychiatry. But it remains possible that some of the negative results, such as the lack of abnormality of network metrics in the relatives of people with schizophrenia, could be false-negative or type 2 errors. If we want functional neuroimaging to advance to the point of being able to reconstruct long-established diagnostic frameworks or to provide endophenotypes that might be the targets of genetic association analysis, we will need larger, epidemiologically principled samples whose collection will entail coordination across multiple clinical research groups. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1,
17,"Comments on an article by Steffi Sachse and Waldemar Von Suchodoletz (see record [rid]2008-02542-005[/rid]). The study by Sachse and Von Suchodoletz compares the accuracy and diagnostic power of 2 diagnostic tests for early identification of language delay: a parent report measure (ELFRA-2) and direct language assessment (SETK-2). In our view, the approach taken for calculating diagnostic measures should be viewed critically. This problem arises from the calculation of diagnostic measures on the basis of a subsample of ELFRA-2-negative children. Extracting only a subsample is understandable for cost reasons. However, if not all children with negative index test results are verified by the reference standard this may result in an overestimation of sensitivity, as not all children with false-negative results will be detected. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
18,"Functional magnetic resonance imaging (fMRI) is the workhorse of imaging-based human cognitive neuroscience. The use of fMRI is ever-increasing; within the last 4 years more fMRI studies have been published than in the previous 17 years. This large body of research has mainly focused on the functional localization of condition- or stimulus-dependent changes in the blood-oxygenation-level dependent signal. In recent years, however, many aspects of the commonly practiced analysis frameworks and methodologies have been critically reassessed. Here we summarize these critiques, providing an overview of the major conceptual and practical deficiencies in widely used brain-mapping approaches, and exemplify some of these issues by the use of imaging data and simulations. In particular, we discuss the inherent pitfalls and shortcomings of methodologies for statistical parametric mapping. Our critique emphasizes recent reports of excessively high numbers of both false positive and false negative findings in fMRI brain mapping. We outline our view regarding the broader scientific implications of these methodological considerations and briefly discuss possible solutions. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)",1,
19,"The effects of mood on false memories have not been studied systematically until recently. Some results seem to indicate that negative mood may reduce false recall and thus suggest an influence of emotional valence on false memory. The present research tested the effects of both valence and arousal on recall and recognition and indicates that the effect is actually due to arousal. In fact, whether participants' mood is positive, negative, or neutral, false memories are significantly more frequent under conditions of high arousal than under conditions of low arousal. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",0,
20,"Administered the Dissociative Experiences Scale (DES) of E. M. Bernstein and F. W. Putnam (see record [rid]1987-14407-001[/rid]) to 259 college students, 33 patients with multiple personality disorder (MPD), and 29 patients with a dissociative disorder not otherwise specified (DDNOS). The interrater reliability for the DES scoring procedure was excellent. The test–retest reliability of DES scores was also excellent, which suggests that DES total scores are temporally stable and similar in absolute value across testings. The internal consistency of DES scores was very high. Both MPD and DDNOS Ss earned significantly higher DES scores than did students. MPD Ss earned significantly higher DES scores than DDNOS Ss. A DES cut-off score of 45–55 will maximize the probability of correctly classifying normal Ss from dissociative disorder patients while minimizing the rates of false positive and false negative errors. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
21,"Introduction: We aimed to field-test the beta version of the third edition of the International Classification of Headache Disorders (ICHD-3 beta) diagnostic criteria for classical trigeminal neuralgia (TN). The proposed beta draft of the 11th version of the International Classification of Diseases (ICD-11 beta) is almost exclusively based on the ICHD-3 beta classification structure although slightly abbreviated. We compared sensitivity and specificity to ICHD-2 criteria, and evaluated the needs for revision. Methods: Clinical characteristics were systematically and prospectively collected from 206 consecutive TN patients and from 37 consecutive patients with persistent idiopathic facial pain in a cross-sectional study design. Results: The specificity of ICHD-3 beta was similar to ICHD-2 (97.3% vs. 89.2%, p = 0.248) and the sensitivity was unchanged (76.2% vs. 74.3%, p = 0.134). The majority of false-negative diagnoses in TN patients were due to sensory abnormalities at clinical examination. With a proposed modified version of ICHD-3 beta it was possible to increase sensitivity to 96.1% (p < 0.001 compared to ICHD-3 beta) while maintaining specificity at 83.8% (p = 0.074 compared to ICHD-3 beta). Conclusion: ICHD-3 beta was not significantly different from ICHD-2 and both lacked sensitivity. A modification of the criteria improved the sensitivity greatly and is proposed for inclusion in the forthcoming ICHD-3. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)",0,
22,"In the staircase test, a naive mouse is placed in a Plexiglas chamber containing a 5-step staircase, and the number of rearings and steps climbed are recorded for 3 min. A claim for drug-class specificity has been made because conventional anxiolytics reduced rearings at doses that did not reduce steps climbed, while nonanxiolytics affected both measures in parallel. In the present study, using male CD-1 mice, chlordiazepoxide, ethanol, alprazolam, meprobamate, buspirone, CGS 9896, ketanserine, tracazolate, phencyclidine, nicotine, morphine, phenacetin, pentylenetetrazol, and FG 7142 were tested using the staircase paradigm. Results indicate an equivocal false negative for alprazolam, a clear false negative for buspirone, and a clear false positive for morphine. It is concluded that the staircase test lacks the degree of therapeutic-class specificity previously proposed but may still be useful in basic research. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
23,"Social-learning models of drug motivation and relapse often include the constructs of affect and drug expectancies. Most research has taken a molar approach to examining relations between these constructs and level of drug use. An experiment examined the roles of affect and expectancies in multiple measures of situation-specific motivation to smoke tobacco. Undergraduate smokers (n = 101) received either a positive or negative mood manipulation (false feedback on an intelligence test). Self-reported urge was influenced by both negative affect and expectancies for positive reinforcement from smoking. Actual consumption was related only to smoking expectancies and only among abstaining smokers. affect by expectancy interactions were also found. Findings support a limited role of affect and expectancies in smoking motivation. Poor coherence among the motivational indexes challenges the assumptions of existing models of drug motivation. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",0,
24,"Describes the properties that allow the identification of innuendo and stresses that this identification is concerned with the pragmatics of utterance interpretation rather than the cognitive mechanisms of information processing. Innuendoes most often arise at critical junctures of interaction which require speakers to act in order to influence others yet to conceal their intentions in order to avoid the risks that would be involved in their overt expression. Innuendoes may be venomous or non-venomous depending on their aim. The author defines venomous innuendo as a non-overt intentional negative ascription, whether true or false, usually in the form of an implicature, which is understood as a charge against what is, for the most part, a non-present party. The use of innuendo as a means of attacking a target is the result of a calculation of the risks of explication together with the benefits of implication. Non-venomous innuendo, especially in the form of sexual innuendo, is also examined. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
25,"62 children (aged 5–8 yrs) and 12 adults (aged 21–28 yrs) participated in a test of the belief that visual sensitivity improves substantially during childhood. Age-related change in visual sensitivity is generally attributed to maturation of the retino-striate pathways; the present study evaluated the extent to which attentional factors emphasize the effect of age. After familiarization, sensitivity was assessed at 2 locations in the superior temporal field using a bracketing technique. False-positive (FP) and false-negative (FN) catch-trials were interspersed with the sequence of stimuli. Age affected sensitivity, and the general level of attentiveness varied not only with age, but also among Ss in the same age group. The extent to which improved visual sensitivity may reflect a concomitant evolution of vigilance was then estimated. Factors for evaluating attentiveness (rate of FN responses, slope of the psychometric function at the median, and goodness of fit) were much better predictors of sensitivity than was age. More significantly, the grouping of Ss into homogeneous subgroups on the basis of their attentional performance showed that children as young as 5 yrs may have a visual sensitivity that is only marginally lower than that of adults. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0,
