,x,jmw
11,"The usage of Statistics as a tool to investigate scientific hypotheses is a universal practice in Social Sciences. Because of that, we usually apply numerous methods with the objective of guiding the data analyses, whose main difficulty is the correct interpretation of the results derivate from them. In accordance with the American Psychological Association, the simpler the method used the better if its assumptions allow us to apply such method to our data. However, it is also convenient to know the potential of different alternatives to analyse our data, like the Bayes empiric method. In this paper, we set out some elements usually involved in the statistical modelling from the Bayesian perspective: the ""a priori"" distribution concept, its transformation in an ""a posteriori"" distribution, and the inferences related to the estimation and contrast of hypotheses about the proportion of successes in a Binomial model. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
12,"A dynamic Bayesian network (DBN) is a probabilistic network that models interdependent entities that change over time. Given example sequences of multivariate data, we use a genetic algorithm to synthesize a network structure that models the causal relationships that explain the sequence. We use a multi-objective evaluation strategy with a genetic algorithm. The multi-objective criteria are a network's probabilistic score and structural complexity score. Our use of Pareto ranking is ideal for this application, because it naturally balances the effect of the likelihood and structural simplicity terms used in the BIC network evaluation heuristic. We use a basic structural scoring formula, which tries to keep the number of links in the network approximately equivalent to the number of variables. We also use a simple representation that favors sparsely connected networks similar in structure to those modeling biological phenomenon. Our experiments show promising results when evolving networks ranging from 10 to 30 variables, using a maximal connectivity of between 3 and 4 parents per node. The results from the multi-objective GA were superior to those obtained with a single objective GA. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
13,"Gaze behaviour is known to indicate information gathering. It is therefore suggested that it could be used to derive information about the driver's next planned objective in order to identify intended manoeuvres without relying solely on car data. Ultimately this would be practically realised by an Advanced Driver Assistance System (ADAS) using gaze data to correctly infer the intentions of the driver from what is implied by the incoming gaze data available to it. Neural Networks' ability to approximate arbitrary functions from observed data therefore makes them a candidate for modelling driver intent. Previous work has shown that significantly distinct gaze patterns precede each of the driving manoeuvres analysed indicating that eye movement data might be used as input to ADAS supplementing sensors, such as CAN-Bus (Controller Area Network), laser, radar or LIDAR (Light Detection and Ranging) in order to recognise intended driving manoeuvres. In this study, drivers' gaze behaviour was measured prior to and during the execution of different driving manoeuvres performed in a dynamic driving simulator. Artificial Neural Networks (ANNs), Bayesian Networks (BNs), and Naive Bayes Classifiers (NBCs) were then trained using gaze data to act as classifiers that predict the occurrence of certain driving manoeuvres. This has previously been successfully demonstrated with real traffic data [1]. Issues considered here included the amount of data that is used for predictive purposes prior to the manoeuvre, the accuracy of the predictive models at different times prior to the manoeuvre taking place and the relative difficulty of predicting a lane change left manoeuvre against predicting a lane change right manoeuvre. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)",1
14,"Correlation coefficients play a key role in the social and behavioral sciences for quantifying the degree of linear association between variables. A Bayes factor is proposed that allows researchers to test hypotheses with order constraints on correlation coefficients in a direct manner. This Bayes factor balances between fit and complexity of order-constrained hypotheses in a natural way. A diffuse prior on the correlation matrix is used that minimizes prior shrinkage and results in most evidence for an order-constrained hypothesis that is supported by the data. An efficient method is proposed for the computation of the Bayes factor. A key aspect in the computation is a Fisher Z transformation on the posterior distribution of the correlations such that an approximately normal distribution is obtained. The methodology is implemented in a freely downloadable software program called “BOCOR�<U+FFFD>. The methods are applied to a multitrait–multimethod analysis, a repeated measures study, and a study on directed moderator effects. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",1
15,"When applicable, an assumed monotonicity property of the regression function w.r.t. covariates has a strong stabilizing effect on the estimates. Because of this, other parametric or structural assumptions may not be needed at all. Although monotonic regression in one dimension is well studied, the question remains whether one can find computationally feasible generalizations to multiple dimensions. Here, we propose a non�<U+FFFD>parametric monotonic regression model for one or more covariates and a Bayesian estimation procedure. The monotonic construction is based on marked point processes, where the random point locations and the associated marks (function levels) together form piecewise constant realizations of the regression surfaces. The actual inference is based on model�<U+FFFD>averaged results over the realizations. The monotonicity of the construction is enforced by partial ordering constraints, which allows it to asymptotically, with increasing density of support points, approximate the family of all monotonic bounded continuous functions. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
16,"Hierarchical and empirical Bayes approaches to inference are attractive for data arising from microarray gene expression studies because of their ability to borrow strength across genes in making inferences. Here we focus on the simplest case where we have data from replicated two colour arrays which compare two samples and where we wish to decide which genes are differentially expressed and obtain estimates of operating characteristics such as false discovery rates. The purpose of this paper is to examine the frequentist performance of Bayesian variable selection approaches to this problem for different prior specifications and to examine the effect on inference of commonly used empirical Bayes approximations to hierarchical Bayes procedures. The paper makes three main contributions. First, we describe how the log odds of differential expression can usually be computed analytically in the case where a double tailed exponential prior is used for gene effects rather than a normal prior, which gives an alternative to the commonly used B-statistic for ranking genes in simple comparative experiments. The second contribution of the paper is to compare empirical Bayes procedures for detecting differential expression with hierarchical Bayes methods which account for uncertainty in prior hyperparameters to examine how much is lost in using the commonly employed empirical Bayes approximations. Third, we describe an efficient MCMC scheme for carrying out the computations required for the hierarchical Bayes procedures. Comparisons are made via simulation studies where the simulated data are obtained by fitting models to some real microarray data sets. The results have implications for analysis of microarray data using parametric hierarchical and empirical Bayes methods for more complex experimental designs: generally we find that the empirical Bayes methods work well, which supports their use in the analysis of more complex experiments when a full hierarchical Bayes analysis would impose heavy computational demands. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
17,"Comments on an article by Saurav Chatterjee et al. (see record [rid]2014-00328-004[/rid]). Chatterjee et al. reported pooled analyses of 6 randomized trials testing different direct-acting oral anticoagulants (DOACs) in patients with atrial fibrillation using frequentist and Bayesian random-effect models. They demonstrated that the risk of intracranial hemorrhage is halved with DOACs compared with control and, based on indirect comparisons, suggest that there are no important differences between the DOACs. The evidence presented by Chatterjee et al. for a reduction in intracranial hemorrhage with the DOACs compared with control is convincing and welcome for patients, but the authors believe that their conclusion that DOACs are similar should be interpreted with caution. Indirect comparisons are potentially misleading because they can be affected by differences among the studies in the types of patients included, co-interventions, and outcomes. A single estimate of the relative risk of intracranial hemorrhage comparing all DOACs with all comparators is an oversimplification. Intriguingly, intracerebral hemorrhage and subdural hematomas are both sharply reduced by DOACs relative to warfarin and these represent different types of vessel rupture. (PsycINFO Database Record (c) 2014 APA, all rights reserved)",1
18,"There is much interest currently in using functional neuroimaging techniques to understand better the nature of cognition. One particular practice that has become common is 'reverse inference', by which the engagement of a particular cognitive process is inferred from the activation of a particular brain region. Such inferences are not deductively valid, but can still provide some information. Using a Bayesian analysis of the BrainMap neuroimaging database, I characterize the amount of additional evidence in favor of the engagement of a cognitive process that can be offered by a reverse inference. Its usefulness is particularly limited by the selectivity of activation in the region of interest. I argue that cognitive neuroscientists should be circumspect in the use of reverse inference, particularly when selectivity of the region in question cannot be established or is known to be weak. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
19,"Despite widespread recognition of operating speed as a key safety-related variable for roundabouts, there is no consensus on the best models for capturing the relationship between crashes and speed, or, for that matter, on how speed can be estimated in situations where it cannot be observed (such as when a roundabout is being designed or redesigned). This paper uses US and Italian roundabout approach-level data to investigate models relating safety to various measures of predicted speed. This is an indirect approach for developing safety models for estimating the effects of design features, the premise being that these features can better predict speed, which, in turn, can be used as a predictor of crash frequency. After exploring various possibilities, the approach average speed (AAS)—defined as the average of entry, upstream circulating and exiting speeds in this study—was found to be the speed measure that best predicts safety. US data were used to develop a Bayesian Poisson-gamma safety model based on predicted AAS with random coefficients and varying dispersion parameter. This model structure was not appropriate for the Italian data used to examine whether the approach could be generalized to data for another country. For that data, a zero-inflated Poisson (ZIP) model was found to be suitable. Notwithstanding the heterogeneity of the model structure, the investigation suggests that the indirect approach for evaluating the safety of a roundabout is a sound one in that it can preserve model parsimony while capturing the effects of design changes that affect safety. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)",1
20,"We combine Nagel's ""step-k"" model of boundedly rational players with a ""law of effect"" learning model. Players begin with a disposition to use one of the step-k rules of behavior, and over time the players learn how the available rules perform and switch to better performing rules. We offer an econometric specification of this dynamic process and fit it to Nagel's experimental data. We find that the rule of learning model vastly outperforms other nested and nonnested learning models. We find strong evidence for diverse dispositions and reject the Bayesian rule-learning model. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",0
21,"Even though Bayesian estimation has recently become quite popular in item response theory (IRT), there is a lack of works on model checking from a Bayesian perspective. This paper applies the posterior predictive model checking (PPMC) method (Guttman, 1967; Rubin, 1984), a popular Bayesian model checking tool, to a number of real applications of unidimensional IRT models. The applications demonstrate how to exploit the flexibility of the posterior predictive checks to meet the need of the researcher. This paper also examines practical consequences of misfit, an area often ignored in educational measurement literature while assessing model fit. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)",1
22,"If a person is trained to recognize or categorize objects or events using one sensory modality, the person can often recognize or categorize those same (or similar) objects and events via a novel modality. This phenomenon is an instance of cross-modal transfer of knowledge. Here, we study the Multisensory Hypothesis which states that people extract the intrinsic, modality-independent properties of objects and events, and represent these properties in multisensory representations. These representations underlie cross-modal transfer of knowledge. We conducted an experiment evaluating whether people transfer sequence category knowledge across auditory and visual domains. Our experimental data clearly indicate that we do. We also developed a computational model accounting for our experimental results. Consistent with the probabilistic language of thought approach to cognitive modeling, our model formalizes multisensory representations as symbolic “computer programs�<U+FFFD> and uses Bayesian inference to learn these representations. Because the model demonstrates how the acquisition and use of amodal, multisensory representations can underlie cross-modal transfer of knowledge, and because the model accounts for subjects’ experimental performances, our work lends credence to the Multisensory Hypothesis. Overall, our work suggests that people automatically extract and represent objects’ and events’ intrinsic properties, and use these properties to process and understand the same (and similar) objects and events when they are perceived through novel sensory modalities. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)",0
23,"Purpose: The purpose of this paper is to suggest a framework for sales forecasting more suitable for smaller firms. The authors examine the sales forecasting practices of small firms and then proceed to discuss the application of Bayesian decision theory in the production of sales forecasts, a method arguably more suited to the smaller firm. The authors suggest that many small firm entrepreneurs are inherently ""Bayesian"" in their thinking approach to predicting events in that they often rely on subjective estimates at least for initial starting values. Design/methodology/approach: A triangulated approach which uses qualitative group discussions and thematic content analysis, a reasonably large-scale questionnaire sample survey administered by post and analysed using descriptive statistics and non-parametric tests of association and a case study approach based on the authors own consultancy activities to illustrate the practical application of the forecasting model suggested. Findings: That many small firms use no formal sales forecasting framework at all. That the majority of small firm owners and/or managers rate sales forecasting skills very low in their list of priorities when given a choice of course to attend at subsidised rates. That there is no significant difference in the importance small firm owners and/or managers attach to formal sales forecasting skills. Research limitations/implications: Information has been gained from one geographic area in the north of England although the results may have a wider application to all small firms in the UK and elsewhere. Only the region's six most important industry sectors were included as stratification variables in the sample survey. Other regions will have a different mix of industries and will be stratified differently. Originality/value: The article addresses the sales forecasting needs of small firms specifically within the marketing for small business context and offers a realistic option with a clear rationale. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",0
24,"Purpose: This study applies a Bayes analysis to the probability of a particular STATIC-99 score and its associated re-offence probability with recidivating for a sexual offence. We examine this probability over three time frames: within 5 years; within 10 years; and within 15 years. Methods: This study was conducted using the same data from Hanson and Thornton (1999). This dataset is constituted from four different samples: Institut Philippe Pinel (Canada) sample; Millbrook Recidivism Study (Canada) sample; Oak Ridge Division of the Penetanguishene Mental Health Center (Canada) sample; and Her Majesty's Prison Service (UK) sample. The final sample for which sufficient information was available to score the STATIC-99 includes 1,086 sexual offenders. Bayes statistic has been used to analyze the data. Results: Results are consistent with the STATIC-99 as a useful assessment tool. The Bayes-generated probabilities as well as odds ratios show a consistent increase in increased likelihood of re-offence as the score value increases. Conclusions: The Bayesian analysis of the STATIC-99 shows that this method is very interesting in the context of risk assessment tools. This approach to risk assessment instruments may be more appropriate in the communication of analytic results as it can offer clinicians a combination of probabilities and likelihood ratios resulting a readily accessible profile of risk. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)",1
25,"Recently, analysis of structural equation models with polytomous and continuous variables has received a lot of attention. However, contributions to the selection of good models are limited. The main objective of this article is to investigate the maximum likelihood estimation of unknown parameters in a general LISREL-type model with mixed polytomous and continuous data and propose a model selection procedure for obtaining good models for the underlying substantive theory. The maximum likelihood estimate is obtained by a Monte Carlo Expectation Maximization algorithm, in which the E step is evaluated via the Gibbs sampler and the M step is completed via the method of conditional maximization. The convergence of the Monte Carlo Expectation Maximization algorithm is monitored by the bridge sampling. A model selection procedure based on Bayes factor and Occam's window search strategy is proposed. The effectiveness of the procedure in accounting for the model uncertainty and in picking good models is discussed. The proposed methodology is illustrated with a real example. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
