,x,chjh
11,"We genotyped five polymorphisms, including two polymorphisms with known effects on transcriptional activity, in a large cohort of 427 Alzheimer disease (AD) cases and 472 control subjects. An association between rs463946 (-3102 G/C) and AD was found and was confirmed in a replication sample of a similar size. By contrast, analysis of three recently described rare mutations influencing APP transcription did not confirm their association with AD risk. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
12,"BACKGROUND: Various surveys now ask respondents to describe their most recent purchase of illicit drugs, as one mechanism through which market size can be estimated. This raises the question of whether issues surrounding the timing of survey administration might make a sample of most recent purchases differ from a random sample of all purchases. We investigate these issues through a series of questions which ask about the three most recent purchases, and about drug use. METHODS: Data were drawn from 688 respondents in the Melbourne Injecting Drug User Cohort Study across the period 2008–2013 and 2782 respondents to the Washington Cannabis Consumption Study in 2013. Responses to questions about the most recent purchases were compared to larger subsets of all recent purchases. RESULTS: For heroin, methamphetamine and cannabis no differences were found between the amount spent by participants on their most recent purchase and the average amount spent on three or more recent purchases. There were also no differences concerning the locations and types of deals, and the duration between consecutive cannabis purchases was the same for first and second most recent, and second and third most recent. CONCLUSIONS: Asking about the most recent purchase appears to be an economical way to learn about purchases more generally, with little evidence of substantial variation between the most recent purchase and other recent purchases reported by participants. In spite of consistent findings across our two surveys, further replication of the work reported in this paper involving other populations of users is warranted. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",0
13,"Investigated the relationship of cognitive inhibition with schizotypy using the Oxford-Liverpool Inventory of Feelings and Experiences (O-LIFE) derived from the Combined Schizotypal Traits Questionnaire within a replication of the A. R. Beech et al (see record [rid]1989-03303-001[/rid]) paradigm. 36 19–43 yr olds completed a negative priming task and the O-LIFE questionnaire. Results show reduced negative priming was significantly linked with Ss scoring high on scales related to positive aspects of schizophrenic symptomatology, while the Stroop effect was found to be independent of all measures of schizotypy. Negative priming effect between high vs low schizotype groups was evident in male Ss only. The O-LIFE served as a useful tool, allowing examination of specific aspects of schizotypy within the time pressures of a laboratory environment. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
14,"It has been suggested that learning style, as measured by the Learning Style Inventory (LSI), is associated with choice of a particular medical field and that individuals with certain learning styles in making career choices are influenced more than other students by particular learning experiences. In the replication study reported here, the LSI was administered to over 200 practicing physicians and medical students. Contrary to the previous findings, results suggest that there is no association between learning style and career choice in medicine and no association between learning style and the kind of influences important in making a career choice. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
15,"Objectives: To determine whether oral language, working memory, and social anxiety differentiate children with selective mutism (SM), children with anxiety disorders (ANX), and normal controls (NCs) and explore predictors of mutism severity. Method: Children ages 6 to 10 years with SM (n = 44) were compared with children with ANX (n = 28) and NCs (n = 19) of similar age on standardized measures of language, nonverbal working memory, and social anxiety. Variables correlating with mutism severity were entered in stepwise regressions to determine predictors of mute behavior in SM. Results: Children with SM scored significantly lower on standardized language measures than children with ANX and NCs and showed greater visual memory deficits and social anxiety relative to these two groups. Age and receptive grammar ability predicted less severe mutism, whereas social anxiety predicted more severe mutism. These factors accounted for 38% of the variance in mutism severity. Conclusions: Social anxiety and language deficits are evident in SM, may predict mutism severity, and should be evaluated in clinical assessment. Replication is indicated, as are further studies of cognition and of intervention in SM, using large, diverse samples. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",0
16,"[Correction Notice: An erratum for this article was reported in Vol 100(2) of British Journal of Psychology (see record [rid]2009-09703-016[/rid]). In our article, we tested humor as a mediator of bizarreness effects in delayed recall. Ultimately, we concluded that the facilitative effects of bizarreness were mediated by humor. However, because the results indicated that an interaction between bizarreness and humor accounted for the changes in recall, the correct interpretation of the results is that humor serves to moderate the effects of bizarreness. Despite our use of incorrect terminology, the point made in our discussion of the relationship between bizarreness and humor remains unchanged: the facilitative effects of bizarreness on recall depend on humor being induced by bizarreness. That is, bizarre information that is humorous will be recalled well, but recall will not be enhanced by bizarreness if it is not humorous. We thank Rory Allen for pointing out the correct distinction between mediation and moderation.] The first empirical study focused exclusively on the influence of bizarre elaboration on memory (Delin, 1968) indicated a significant relationship between bizarreness and recall after a 15-week delay. However, that study was strongly criticized on methodological grounds. The present study offers a conceptual replication of Delin’s historically significant study which sought to verify his influential, yet criticized, results and to test the possibility that a humor response mediates the relationship between bizarre elaboration and recall using multiple regression procedures. In keeping with Delin’s findings, the results of the present study suggest that bizarre elaboration facilitates both free and cued recall after a substantial delay. The results also suggest that the facilitative effects of bizarreness are mediated by humor. The findings are discussed in the context of a comprehensive theory of bizarreness effects. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
17,"In a reply to J. A. Naglieri and J. P. Das""s (see record [rid]1995-36368-001[/rid]) reply to the authors"" (see record [rid]1995-36357-001[/rid]) study, the authors argue that much of Naglieri and Das""s commentary results from misinterpretation of the aims and conclusions of the authors"" study. Contrary to Naglieri and Das""s interpretation, the authors neither attempted to develop a new theory of the structure of human intelligence nor generalized from their own results to all future planning, attention, simultaneous-successive (PASS) test batteries. Consequently, the authors"" conclusions and interpretations, which pertained only to the factor structure of the test battery presented in J. A. Naglieri et al (see record [rid]1991-18053-001[/rid]), cannot be refuted by Naglieri and Das""s comments. Because a more recent PASS test battery (J. P. Das and J. A. Naglieri, 1993) reportedly differs from the test battery that the authors reanalyzed, attempts at replication of the results with children in Grades 5–12 are needed. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0
18,"Dopamine D2 receptors mediate the rewarding effects of many drugs of abuse. In humans, several polymorphisms in DRD2, the gene encoding these receptors, increase our genetic risk for developing addictive disorders. Here, we examined one of the most frequently studied candidate variant for addiction in DRD2 for association with brain structure. We tested whether this variant showed associations with regional brain volumes across two independent elderly cohorts, totaling 1,032 subjects. We first examined a large sample of 738 elderly participants with neuroimaging and genetic data from the Alzheimer’s Disease Neuroimaging Initiative (ADNI1). We hypothesized that this addiction-related polymorphism would be associated with structural brain differences in regions previously implicated in familial vulnerability for drug dependence. Then, we assessed the generalizability of our findings by testing this polymorphism in a non-overlapping replication sample of 294 elderly subjects from a continuation of the first ADNI project (ADNI2) to minimize the risk of reporting false positive results. In both cohorts, the minor allele—previously linked with increased risk for addiction—was associated with larger volumes in various brain regions implicated in reward processing. These findings suggest that neuroanatomical phenotypes associated with familial vulnerability for drug dependence may be partially mediated by DRD2 genotype. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)",1
19,"Comment on an article by Jianzhong Jin et al. (see record [rid]2011-16631-022[/rid]). The authors mapped the receptive fields of a large population of cells in the lateral geniculate nucleus (LGN) tiling a compact region of visual space. Authors found that linear summation of the LGN receptive fields connected to the cortical column generates spatial profiles that resemble those of simple cells. These findings are diverted as this can only coexist under a model in which the receptive fields of cortical cells are substantially constrained by the inputs. The implication would be that the orientation map must already be encoded in the partial segregation of ON and OFF inputs in the LGN an extraordinary finding indeed. The data by authors show, at first sight, a degree of overlap that is higher than expected from a simple replication of the RGC mosaic structure. This might be explained by the divergence from the retina to LGN and the fact that some LGN cells may pool more than one afferent. If, however, we consider that, to a first approximation, X cells in the LGN are generated by linear summation of RGC input and receptive fields in cortex are constructed by linear summation of LGN afferents, then one can understand that cortical neurons will be ultimately constrained by the output of the retina independently of the precise nature and coverage ratio of LGN receptive fields. Finally, all of these processes may proceed without the need for specific patterns of spontaneous thalamic activity as required in some activity- dependent models of development. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",0
20,"Project aims to study social intelligence of the gifted and average students in different school environments varying on the dimension of enrichment. Two enriched environment and two non-enriched environment schools were selected from fifteen different schools that were studied for existing school environment. General Intelligence tests were used far selecting gifted and average students. Top 5% students were selected as gifted where as middle 50% were selected as average. The performance of these students on social intelligence tests was compared to identify the differences on two interacting dimensions. Intellectual potential and school climate. This comparison showed that enriched school environment was advantageous for the development of social intelligence among average students. In case of gifted students observed mean differences were insignificant. However, frequency analysis using chi-squire revealed that synergistic interaction between high genetic potential and enriched school environment results in the formation of small intra group clusters. Replication of the study in other places both inside and outside the country may be useful in identifying the sub cultural influences. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",0
21,"Examined the likelihood to aggress in female youth soccer players in a replication and extension of the study by D. Stephens and B. Bredemeier (1996). 307 soccer players, representing 3 age-group coed leagues (aged 9–11, 11–12, and 12–13 yrs) and 1 girls league (aged 10–14 yrs), answered a soccer-specific test battery, which included an assessment of perceived ability, goal orientation, perception of coach's goal orientation, perception of team's pro-aggressive norm, moral motive, and likelihood to aggress. Results indicate players' perceptions of their team's pro-aggressive norm was the primary predictor of likelihood to aggress for boys and girls in the coed leagues, and for girls in the all-girls league. Moral motive and perceived ability also contributed to the prediction equation for the boys in the coed leagues; perception of coach's ego orientation also added to the prediction equation for the girls playing in the all-girls league. (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
22,"The change detection task has been used in dozens of studies with adults to measure visual working memory capacity. Two studies have recently tested children in this task, suggesting a gradual increase in capacity from 5 years to adulthood. These results contrast with findings from an infant looking paradigm suggesting that capacity reaches adult-like levels within the first year. The current study adapted the change detection task for use with children younger than 5 years to test whether the standard version of the task was too difficult and may have underestimated children’s capacity. Results showed that 3- and 4-year-olds could successfully complete this modified task and that capacity increased roughly linearly, from 2 or 3 items during this period to 3 or 4 items between 5 and 7 years. Furthermore, performance did not differ significantly between the modified version and a replication of the standard version with 5- and 7-year-olds. Thus, there is no evidence that previous research with the change detection task underestimated children’s capacity. Further research is needed to understand how performance relates across the infant looking task and change detection to provide a more complete picture of visual working memory capacity over development. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)",1
23,"Discusses several approaches to single-case research, including those of visual analysis of time-series data, ANOVA techniques, time-series analysis, randomization tests, psychometric assessment procedures (based on classical test theory models), and demonstration of generality by replication (methods of combining results from different single-S investigations) to address claims that such analyses, based on data from a single S, are unscientific. Guidelines for single-case statistics are included. (English & French abstracts) (63 ref) (PsycINFO Database Record (c) 2012 APA, all rights reserved)",1
24,"Sensory and consumer scientists are seeing the need to explore broader measures, such as product-driven emotions, to be able to fully understand and satisfy consumers’ demands. However, to date, the consumer methodologies used in food-related emotion research have neglected a crucial element linked to emotions: the consumption context. This is a concern, because consumers’ emotional responses to food are elicited by many other sources apart from the sensory properties of the food itself. The present research aimed to fill in this gap of knowledge by exploring how evoked consumption contexts affect responses obtained from an emotion questionnaire. Two food stimuli (apple and chocolate brownie) and three different consumption contexts (a ‘weekend breakfast’, an ‘afternoon snack’, and ‘after a special dinner’) were used to vary the level of product-context appropriateness. A within-subject design was used in which 157 participants first completed an emotion questionnaire (36 terms, checklist format) in response to each of the evoked consumption contexts (presented in written format). A week later, the same participants completed the same emotion questionnaire while imagining themselves eating an apple or chocolate brownie (shown as images) without any given context (control condition), and then under the three different contexts (random monadic sequential order). When the chocolate brownie was the food stimulus, 20 of 36 emotion responses were significantly different from context to context (including the no-context condition). Conversely, only 9 significant differences were established when apple was the food stimulus. It was also found that frequency of use of positive emotion terms was higher in those consumption contexts that were considered more appropriate, whereas negative emotion terms were more frequently selected when the context was perceived as less appropriate for the product. Taken together, these findings highlight how the context in which a food is consumed (even if imagined) can affect consumers’ emotion responses towards it. More broadly, they demonstrate the reciprocal effect that the context and the product have on the elicited emotion responses, which are not situationally invariant. This research also explored how psychological traits related to emotional eating affected the emotion responses and found that in general higher emotional eaters selected a higher number of emotion terms (positive and negative). This study represents a needed advance in food-related emotion research, and upon replication of the results with other product-context combinations, could offer an easy-to-implement methodology that should more closely match the emotion responses that consumers would elicit in real-life situations while eating and drinking. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",0
25,"By reviewing the existing ¹H�<U+FFFD>magnetic resonance spectroscopy literature in schizophrenia, the relationship of different sample characteristics and applied methodologies with metabolite alterations is explored. Furthermore, we emphasize common pitfalls and discrepancies in the methodological framework of the reviewed studies that introduce unwanted variation in findings and complicate the comparison of studies. A total of 92 studies were reviewed. Articles were retrieved by searching the Pubmed database. Care was taken to note down reliability and validity measures of each included study. Despite many methodological differences and shortcomings, progressive NAA reductions could be seen in several brain regions implicated in the pathogenesis of schizophrenia. In terms of treatment effects, cross�<U+FFFD>sectional evidence implicates a normalizing role for atypical antipsychotic medication; however, longitudinal studies remain inconclusive on this issue. Choline, creatine, and myo�<U+FFFD>inositol levels remain largely unchanged and a time�<U+FFFD>dependent role of glutamate finds confirmation in several spectroscopy studies. Other findings are less consistent and need further replication. Most studies lack power and methodological precision. Future studies should aim for standardization and for more distinguished study populations to gain more valid and reliable findings. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)",0
