"";"x"
"11";"Do negative quantifiers like â€œfewâ€<U+FFFD> reduce peopleâ€™s ability to rapidly evaluate incoming language with respect to world knowledge? Previous research has addressed this question by examining whether online measures of quantifier comprehension match the â€œfinalâ€<U+FFFD> interpretation reflected in verification judgments. However, these studies confounded quantifier valence with its impact on the unfolding expectations for upcoming words, yielding mixed results. In the current event-related potentials study, participants read negative and positive quantifier sentences matched on cloze probability and on truth-value (e.g., â€œMost/Few gardeners plant their flowers during the spring/winter for best resultsâ€<U+FFFD>). Regardless of whether participants explicitly verified the sentences or not, true-positive quantifier sentences elicited reduced N400s compared with false-positive quantifier sentences, reflecting the facilitated semantic retrieval of words that render a sentence true. No such facilitation was seen in negative quantifier sentences. However, mixed-effects model analyses (with cloze value and truth-value as continuous predictors) revealed that decreasing cloze values were associated with an interaction pattern between truth-value and quantifier, whereas increasing cloze values were associated with more similar truth-value effects regardless of quantifier. Quantifier sentences are thus understood neither always in 2 sequential stages, nor always in a partial-incremental fashion, nor always in a maximally incremental fashion. Instead, and in accordance with prediction-based views of sentence comprehension, quantifier sentence comprehension depends on incorporation of quantifier meaning into an online, knowledge-based prediction for upcoming words. Fully incremental quantifier interpretation occurs when quantifiers are incorporated into sufficiently strong online predictions for upcoming words. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)"
"12";"Brain fingerprinting (BF) detects concealed information stored in the brain by measuring brainwaves. A specific EEG event-related potential, a P300-MERMER, is elicited by stimuli that are significant in the present context. BF detects P300-MERMER responses to words/pictures relevant to a crime scene, terrorist training, bomb-making knowledge, etc. BF detects information by measuring cognitive information processing. BF does not detect lies, stress, or emotion. BF computes a determination of ""information present"" or ""information absent"" and a statistical confidence for each individual determination. Laboratory and field tests at the FBI, CIA, US Navy and elsewhere have resulted in 0% errors: no false positives and no false negatives. 100% of determinations made were correct. 3% of results have been ""indeterminate."" BF has been applied in criminal cases and ruled admissible in court. Scientific standards for BF tests are discussed. Meeting the BF scientific standards is necessary for accuracy and validity. Alternative techniques that failed to meet the BF scientific standards produced low accuracy and susceptibility to countermeasures. BF is highly resistant to countermeasures. No one has beaten a BF test with countermeasures, despite a $100,000 reward for doing so. Principles of applying BF in the laboratory and the field are discussed. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"13";"There is ongoing debate regarding the epidemiology of mild traumatic brain injury (MTBI) in military personnel. Accurate and timely estimates of the incidence of brain injury and the prevalence of long-term problems associated with brain injuries among active duty service members and veterans are essential for (a) operational planning, and (b) to allocate sufficient resources for rehabilitation and ongoing services and supports. The purpose of this article is to discuss challenges associated with post-deployment screening for MTBI. Multiple screening methods have been used in military, Veterans Affairs, and independent studies, which complicate cross-study comparisons of the resulting epidemiological data. We believe that post-deployment screening is important and necessaryâ€”but no screening methodology will be flawless, and false positives and false negatives are inevitable. Additional research is necessary to refine the sequential screening methodology, with the goal of minimizing false negatives during initial post-deployment screening and minimizing false positives during follow-up evaluations. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"14";"Applied a model-based automatic K-complex (Kc) detector to all-night, single-channel sleep EEG recordings from 9 normal Ss (aged 21â€“54 yrs) and 10 female dysthymic patients (aged 29â€“55 yrs). Results show that the detection rate of Kc in the normal group was around 91% through all stages of non-rapid eye movement (NREM) sleep, but with high numbers of ""false"" positives in Stage 4 NREM, which reached 57%. In the dysthymic Ss, ""true"" detection included 85% of the Kc, but the percentage of ""false"" positives dropped in Stage 4 NREM. The model-based Kc detector was found to be a useful tool for routine sleep EEG studies. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"15";"Assessed the predictive validity of a version of the Anton Brenner Development Gestalt Test of School Readiness developed for experimental use in Costa Rica. With 312 preschool children assessed during the 1st semester and at the end of kindergarten, the relationship between test scores and failing or passing 1st grade was similar. The average hit rate was 84%, the test's sensitivity was 23%, and its specificity was 97%. The test showed almost a 7:1 ratio for misclassifying false positives and false negatives. Since there was no marked difference between the predictive validity of the test on the 2 occasions, it would seem advantageous to give the test in the 1st semester to have time to remedy difficulties during kindergarten. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"16";"This study investigates the prediction of violence in psychiatric patients through five simple questions. This study found that 30 of 128 patients were violent in the 5 years studied, with 83% being predicted as violent by screening (sensitivity), and a false negative rate of 17%. The positive predictive value was poor at 38% but the negative predictive value was impressive at 92%. The factors predicting later violence were being male, having a history of violence, a history of drug misuse, a prior criminal conviction, a history of alcohol misuse, poor treatment adherence and being less than 32 years old. A history of self-harm was only seen in 20% of those who were violent later. The rates of 5-year violence in the three separate groups were 35% in the forensic sample, 6% in addictions, and 36% in the acute community crisis resolution home treatment group. The results raised two interesting points. First, that these five simple questions might aid clinical decision-making concerning which patients will not pose a risk of later violence, but does not elucidate prediction on who will become violent. Second, it is hard to define who is a forensic patient when compared patterns across our three samples. (PsycINFO Database Record (c) 2014 APA, all rights reserved)"
"17";"This study proposes an iterative dual-regression (DR) approach with sparse prior regularization to better estimate an individual's neuronal activation using the results of an independent component analysis (ICA) method applied to a temporally concatenated group of functional magnetic resonance imaging (fMRI) data (i.e., Tc-GICA method). An ordinary DR approach estimates the spatial patterns (SPs) of neuronal activation and corresponding time courses (TCs) specific to each individual's fMRI data with two steps involving least-squares (LS) solutions. Our proposed approach employs iterative LS solutions to refine both the individual SPs and TCswith an additional a priori assumption of sparseness in the SPs (i.e.,minimally overlapping SPs) based on LÂ¹-norm minimization. To quantitatively evaluate the performance of this approach, semi-artificial fMRI data were created from resting-state fMRI data with the following considerations: (1) an artificially designed spatial layout of neuronal activation patterns with varying overlap sizes across subjects and (2) a BOLD time series (TS) with variable parameters such as onset time, duration, and maximum BOLD levels. To systematically control the spatial layout variability of neuronal activation patterns across the â€œsubjectsâ€<U+FFFD> (n=12), the degree of spatial overlap across all subjects was varied from a minimum of 1 voxel (i.e., 0.5-voxel cubic radius) to a maximum of 81 voxels (i.e., 2.5-voxel radius) across the task-related SPs with a size of 100 voxels for both the block-based and event-related task paradigms. In addition, several levels of maximum percentage BOLD intensity (i.e., 0.5, 1.0, 2.0, and 3.0%) were used for each degree of spatial overlap size. From the results, the estimated individual SPs of neuronal activation obtained from the proposed iterative DR approach with a sparse prior showed an enhanced true positive rate and reduced false positive rate compared to the ordinary DR approach. The estimated TCs of the task-related SPs from our proposed approach showed greater temporal correlation coefficients with a reference hemodynamic response function than those of the ordinary DR approach.Moreover, the efficacy of the proposed DR approach was also successfully demonstrated by the results of real fMRI data acquired from left-/ right-hand clenching tasks in both block-based and event-related task paradigms. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)"
"18";"Objective: Valid definitions of dementia should discriminate dementia from other forms of cognitive impairment such as intellectual disability (ID). We aimed to evaluate the usefulness of criteria for dementia and mild cognitive impairment (MCI) in ID, including predictive validity, and inter-rater reliability. Method: We assessed 222 participants in a survey of older adults with ID without Down syndrome at two time points for dementia (T1 and T2). Mean follow-up period was 2.9 years. Dementia diagnoses were made according to International Classification of Diseases, Tenth Revision, Diagnostic and Statistical Manual of Mental Disorders (Fourth Edition), Diagnostic criteria for psychiatric disorders for use with adults with learning disabilities (DC-LD) criteria. At follow-up (T2), raters were blind to initial diagnosis. Predictive validity was determined by comparing odds ratios (ORs) of death, or of having a â€œpoor outcomeâ€<U+FFFD> (i.e., either dying or being diagnosed with dementia at T2). Results: All dementia criteria showed substantial inter-rater reliability (Îº > 0.68) and high specificity (âˆ¼95%). Dementia cases at T1 were more likely to have died at T2 than those with no dementia (33.3% versus 14.9%; OR: 2.85; 95% confidence interval (95% CI): 1.12â€“7.22) and to have a â€œpoor outcomeâ€<U+FFFD> (77.8% versus 27.6%; OR: 9.18; 95% CI: 3.43â€“24.53). At least two dementia cases at T1 were false positives. Those with â€œMCIâ€<U+FFFD> at T1 were similar to â€œno dementiaâ€<U+FFFD> cases in terms of poor outcomes at T2. Conclusion: Dementia diagnostic criteria show substantial reliability and satisfactory validity in ID. The diagnoses were, however, less stable than in the general population and some caution is advisable in those with more severe ID or additional sensory disability. MCI definitions require further consideration in the ID population. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"19";"The Management Standards Indicator Tool (MSIT) is a 35-item self-report measure of the psychosocial work environment designed to assist organizations with psychosocial risk assessment. It is also used in work environment research. Edwards and Webster presented a 25-item version of the MSIT based on the deletion of items having a factor loading of < .65. Stress theory and research suggest that psychosocial hazard exposures may result in harm to the health of workers. Thus, using data collected from three UK organizations (N = 20,406) we compared the concurrent validity of the brief and full versions of the MSIT by exploring the strength of association between each version of the instrument and a measure of psychological wellbeing (GHQ-12 and Maslach Burnout Inventory). Analyses revealed that the brief instrument offered similar but not always equal validity to that of the full version. The results indicate that use of the brief instrument, which would be less disruptive for employees, would not elevate the risk of false negative or false positive findings in risk assessment. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"20";"Recently, a debate has emerged on the use and necessity of standardization in experimental testing using animal subjects. The difficulties encountered when trying to reconcile standardization and generalization largely underlie this debate. The more specific the testing procedures are, the less one can generalize to more naturalistic situations, including to human clinical populations. If the goal of a study is to generalize to a larger population, there may be a higher risk attached to false-positive than false-negative results; thus the balance sways toward generalization. Heterogenization of housing conditions and of genetic makeup of experimental animals has been suggested as a possible method to increase the generalizability of results. It is important to remain cognizant, however, of situations in which false negatives can be counterproductive or even dangerous, such as when the goal is to elucidate a physiological mechanism, when expected effect sizes are small, in toxicological studies and in drug safety testing. In such cases, experiments based on standardization may provide more useful information. We pose that it is essential that the goal of the specific experiment conducted is clearly defined and that the decision to balance between standardization and generalization must be made based on the specific needs to meet the intended goal. In this light, we discuss a multi-tiered approach to animal experimentation, in which standardization and generalizability are each given precedence during different phases of a project, depending upon the goal of the experiment. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"21";"The disease construction of schizophrenia (SZ) originated during a period of rapid growth of biological science based on mechanistic principles. Crude diagnostic measures failed to differentiate absurd, unwanted conduct due to biological conditions from atypical conduct directed to solving existential or identity problems. The patient came to be regarded as an object without agency or goals. In spite of enormous research funding, no biological or psychological marker has been discovered that would differentiate diagnosed SZs from normals without creating unacceptable proportions of false positives and false negatives. It is concluded that SZ is an obsolescent hypothesis and should be abandoned. An alternate framework, contextualism, is discussed in which persons are perceived as agents, actors, or performers. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"22";"Aim: Accurate detection of recurrent disease and restaging are essential in the postoperative surveillance of many patients with pheochromocytomas (PHEOs) and paragangliomas (PGLs). In this study, the impact of positron emission tomography (PET) and PET/computed tomography (CT) with Â¹Â¹C-hydroxyephedrine (HED) was evaluated for the postoperative surveillance and diagnosis of recurrent disease and for functional monitoring of locoregional and systemic therapy. Methods: One hundred and eleven HED-PET and PET/CT examinations performed in 48 patients after surgical intervention for PHEO/PGL were analyzed retrospectively. In a subgroup of 16 patients who underwent systemic and locoregional therapies, the tracer uptake in tumors was also measured as the functional volume (FV), maximum standardized uptake value (SUVmax), mean SUV (SUVmean) and as the total catecholamine transporter tumor volume (TCTTV) calculated as TCTTV = FV Ã— SUVmean. The PET imaging results were correlated with CT/magnetic resonance imaging findings and biochemical and clinical follow-up data. Results: In the first postoperative examination, HED-PET was positive in 24/48 and negative in 24/48 patients with no false-positive results, yielding 92.3% sensitivity and 100% specificity. For the 16 patients, there was a significant correlation between FV and SUVmax and SUVmax and TCTTV. TCTTV correlated significantly with plasma and urinary catecholamines. In 11/16 patients, SUVmax and TCTTV increased/decreased in parallel but not in the remaining 5 patients. Conclusion: HED-PET and PET/CT were found to be valuable in the postoperative follow-up in detecting recurrent and metastatic disease. In a subgroup of patients, functional monitoring of systemic and locoregional therapies was feasible by assessing the changes of the TCTTV, and therefore warrants further prospective evaluation. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"23";"Exposed 576 undergraduates to a deception experiment and then gave them 1 of 3 types of awareness questionnaires (indirect, direct, and funnel). Each questionnaire type either included or did not include an orienting paragraph and saliency-control questions. The funnel questionnaire was the most accurate method of assessing awareness; it eliminated the problem of ""false negatives"" remaining in the data, and it did not identify a large number of ""false-positive awares."" The belief that an extended-funnel questionnaire will suggest too much demand characteristic awareness is challenged. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"24";"Presented a vigilance task to either the right or left hemisphere alone by means of a divided visual field technique. The left hemisphere was found to be superior in detection and to give rise to fewer false positives. Handedness was related to performance in the right hemisphere group. Results suggest the presence of 2 vigilance systems within the brain. A primary system operates initially at a high level, shows decrement with time, and is associated with the left hemisphere. A secondary system shows no decrement, but operates at a lower level and is associated with the right hemisphere. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"25";"The experiment tested prospective and retrospective memory for a person pictured on a wanted poster. Participants monitored the videotaped activity of a computer lab; one of their duties involved reporting if they saw a computer hacker. Half viewed a wanted poster of the hacker before the monitoring task and half after. For half the participants, the hacker appeared during monitoring and for half not. A diagnosticity ratio comparing the correct prospective memory identifications with false positive identifications showed that a prospective identification was 3.35 times more likely to be accurate than inaccurate. For those viewing the wanted poster after monitoring, the diagnosticity ratio was 1.21. Based on diagnosticity, a prospective identification had more value than a retrospective identification. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
