"";"x"
"11";"Background: Although some studies evaluated the effectiveness of massage therapy for fibromyalgia (FM), the role of massage therapy in the management of FM remained controversial. Objective: The purpose of this systematic review is to evaluate the evidence of massage therapy for patients with FM. Methods: Electronic databases (up to June 2013) were searched to identify relevant studies. The main outcome measures were pain, anxiety, depression, and sleep disturbance. Two reviewers independently abstracted data and appraised risk of bias. The risk of bias of eligible studies was assessed based on Cochrane tools. Standardised mean difference (SMD) and 95% confidence intervals (CI) were calculated by more conservative random-effects model. And heterogeneity was assessed based on the I2 statistic. Results: Nine randomized controlled trials involving 404 patients met the inclusion criteria. The meta-analyses showed that massage therapy with duration ≥5 weeks significantly improved pain (SMD, 0.62; 95% CI 0.05 to 1.20; p = 0.03), anxiety (SMD, 0.44; 95% CI 0.09 to 0.78; p = 0.01), and depression (SMD, 0.49; 95% CI 0.15 to 0.84; p = 0.005) in patients with FM, but not on sleep disturbance (SMD, 0.19; 95% CI 20.38 to 0.75; p = 0.52). Conclusion: Massage therapy with duration ≥5 weeks had beneficial immediate effects on improving pain, anxiety, and depression in patients with FM. Massage therapy should be one of the viable complementary and alternative treatments for FM. However, given fewer eligible studies in subgroup meta-analyses and no evidence on follow-up effects, large-scale randomized controlled trials with long follow-up are warrant to confirm the current findings. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"12";"Comments on an article, ""Predicting the development of schizophrenia in high-risk populations: systematic review of the predictive validity of prodromal criteria"" by J. Chuma & P. Mahadun (2011). Chuma & Mahadun report on a much needed and topical meta analysis of prospective studies investigating the predictive validity of prodromal criteria in schizophrenia. The potential importance of early identification and treatment cannot be underestimated. The authors should be congratulated for helping clarify whether the identification component is currently worthwhile. I have no doubt that this paper is generally well conducted and for the 'ultra-high-risk strategy' sample size reasonable but I am afraid I cannot agree with their interpretation of results. In particular, they conclude that that both ultra-high-risk and basic-symptoms criteria are valid and useful tools in predicting the future development of schizophrenia among the 'at-risk population', and that ultra-high-risk criteria were able to 'correctly predict schizophrenia', while being able to 'exclude this condition with some certainty'. appreciate that many might find these statistical terms confusing. Previously, I have proposed a simple adjustment of false positives and false negatives per every 100 patients seen, which I called real-world interpretation/yield. So, for every 100 individuals thought to be at risk and subject to ultra-high-risk criteria, 17 would be correctly classified as converters to schizophrenia and 4 would be missed; and 53 would be correctly classified as non-converters but 26 would be falsely identified. In effect, there would be six times as many false positives as false negatives. I therefore ask the authors to reconsider whether these approaches are entirely valid for both rule-in and rule-out purposes when the data suggest mainly the latter. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"13";"A foundational assumption in meta-analysis is that effect sizes (EFSs) based on scores from different measures are directly comparable. Recent theoretical work has shown that in order for EFSs to be comparable—in the sense of being interchangeable across measures—the EFSs must be based on scores meeting two conditions: construct equivalence and the reliabilities of the scores from these measures must be equal. No research has investigated the consequences for meta-analytic analyses and comparisons if the EFSs are based on scores failing to meet these two conditions. This article reports the results of a simulation study investigating the effects of various magnitude violations of the combination of construct equivalence and equal reliabilities on the outcomes of meta-analytic comparisons of EFSs. The results suggest that as violations of construct equivalence and equal reliabilities increase in magnitude, the results of a meta-analysis can change substantially with respect to the relative ordering of effect size magnitude—including changes in the rank ordering of EFS—merely as a function of which measures are used in the various studies included in the meta-analysis. The implications of these results for meta-analysis are considered and important lines of future research identified. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)"
"14";"Objective: There have been dramatic societal changes in East Asia over the last hundred years. Several of the established risk factors could have important period and cohort effects. This study explores temporal variation of dementia prevalence in mainland China, Hong Kong and Taiwan taking study methods into account. Methods: Seventy prevalence studies of dementia in mainland China, Hong Kong and Taiwan were identified from 1980 to 2012. Five period groups (before 1990, 1990 ~ 1994, 1995 ~ 1999, 2000 ~ 2004 and 2005 ~ 2012) and five birth cohort groups (1895 ~ 1909, 1910 ~ 1919, 1920 ~ 1929, 1930 ~ 1939 and 1940 ~ 1950) were categorised using the year of investigation and 5�<U+FFFD>year age groups. Pooled prevalence by age, period and birth cohort groups was estimated through meta�<U+FFFD>regression model and meta�<U+FFFD>analysis taking diagnostic criteria and age structure into account. Results: After adjusting for diagnostic criteria, the study age range and age structure, the prevalence of dementia in the older population aged 60 years and over fluctuated across periods but not reaching significance and were estimated as 1.8%, 2.5%, 2.1%, 2.4% and 3.1% for the five periods from pre�<U+FFFD>1990 to 2005 ~ 2012. A potential increasing pattern from less to more recent birth cohort groups was found in the major studies using older diagnostic criteria with wider differences in the age groups over 70 years. Conclusions: This study found no significant variation across periods but suggested a potential cohort effect. The influence of societal changes might moderate early life experiences across different generations with substantial impact on mental health in older age. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"15";"In this article, we review the existing empirical research on the topic of therapeutic alliance ruptures in psychotherapy. Ruptures in the therapeutic alliance are defined as episodes of tension or breakdown in the collaborative relationship between patient and therapist. Two meta-analyses were conducted. The first reviewed studies examining the relation between rupture-repair episodes and treatment outcome (r = .24, z = 3.06, 95% CI [.09, .39], p = .002, k = 3, N = 148). The second meta-analysis reviewed the research examining the impact on treatment outcome of training therapists in the use of alliance rupture intervention principles (prepost r = .65, z = 5.56, 95% CI [.46, .78], p < .001, k = 8, N = 376). Both meta-analyses provided promising evidence regarding the relevance of alliance rupture-repair processes to therapeutic outcome. The limitations of the research reviewed are discussed as well as practice implications for repairing the inevitable alliance ruptures in psychotherapy. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"16";"In the present issue of Patient Education and Counseling we publish a review by Stephen G. Henry and co-workers on the association between nonverbal communication during clinical interactions and outcomes. The review is based on 26 observational studies published between 1975 and 2009. A number of different outcome measures has been applied in the different studies. The most frequent outcome measure is patient satisfaction, which has been assessed in 17 studies. A series of meta-analyses have been performed to test the effect of different aspects of nonverbal communication on patient satisfaction. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"17";"In the wake of repeated long-term criticism of blind reliance on simple hypothesis testing via an observed statistic and a p value, the American Psychological Association currently recommends including other methods such as reporting effect sizes, meta-analyses, graphical data presentation, and reporting confidence intervals (CIs). In this brief article, I first discuss some of the merits of reporting CIs and mention several sources that advocate the use if CIs, and I further elucidate their computation and interpretation in various circumstances. Second, I discuss a caveat regarding the use of CIs that apparently has not been widely recognized, although it is fairly obvious. The point to be made is that violation of assumptions that affect the true value of α (the probability of a Type I error) in a significance test will also affect the precision of the corresponding 100(1 - α)% CI. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"18";"Reviews the clinical efficacy of milnacipran (MIL), a selective serotonin and noradrenaline reuptake inhibitor, on the basis of 3 multicenter, placebo-controlled trials in major depression (MD). Study 1 was a dose-range study carried out in the US with 527 outpatients with MD of moderate or greater severity. Study 2 was carried out in Europe with 81 inpatients with endogenous MD. Study 3 was done in France with 58 hospitalized patients with MD. The dose-range study showed the superiority of MIL at 50 or 100 mg twice a day compared with placebo, whereas the effect of 25 mg twice a day was not clearly distinguished from that of placebo. The positive results in the individual studies were supported by a meta-analysis of the data from the 3 studies. A subgroup analysis of hospitalized patients in the meta-analysis showed an advantage for MIL, suggesting that MIL is effective in more severe depression. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"19";"These meta-analyses examine race differences in self-esteem among 712 datapoints. Blacks scored higher than Whites on self-esteem measures (d=0.19), but Whites scored higher than other racial minority groups, including Hispanics (d=-0.09), Asians (d=-0.30), and American Indians (d=-0.21). Most of these differences were smallest in childhood and grew larger with age. Blacks' self-esteem increased over time relative to Whites', with the Black advantage not appearing until the 1980s. Black and Hispanic samples scored higher on measures without an academic self-esteem subscale. Relative to Whites, minority males had lower self-esteem than did minority females, and Black and Hispanic self-esteem was higher in groups with high socioeconomic status. The results are most consistent with a cultural interpretation of racial differences in self-esteem. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"20";"Reply by the current authors to the comments made by Jack J.M. Dekker and Rien Van (see record [rid]2013-00671-019[/rid]) on the original article (see record [rid]2011-06066-001[/rid]). We thank Dekker and Van for their letter, in which several short-term psychodynamic supportive psychotherapy trials are referenced; however, only one such trial met inclusion criteria for our meta-analysis, and we thus only focused on ascertaining therapist qualifications in that particular study. The term psychotherapists left room for interpretation, which was why we coded short-term psychodynamic supportive psychotherapy (SPSP) as not clearly a bona fide intervention. In systematically reviewing the criteria for a bona fide therapy, it would appear, based on the additional information provided by Dekker and Van that therapists were well supervised and received training in SPSP. However, we have one remaining concern: in neither the original trial nor the letter to the editor is the term psychotherapist clearly linked to any particular educational background; it is unclear whether all such therapists had a master’s degree- level education in mental health. The term psychotherapist is not typically regulated in the United States, where our research team resides. Therefore, in many areas of the United States, people with quite limited educational backgrounds may call themselves psychotherapists and provide therapy services despite a lack of in-depth training. (PsycINFO Database Record (c) 2013 APA, all rights reserved)"
"21";"This paper describes the development of a theoretically-based substance abuse scale to be used for personnel selection. Twenty-eight studies were conducted to validate the predictor. A meta-analysis was conducted using all 28 of the studies (N = 4,118). The mean validity coefficients for bare bones and fully corrected analyses were .25 and .43, respectively. The studies were analyzed according to the type of subject (students, applicants, employees), method used to collect the criteria (self-report, not self-report), and job relevance of the criteria (job-related, not job-related). The method used to collect the criteria was a moderating variable: mean validity coefficients for studies using self-report and nonself-report criteria were .64 and .33, respectively. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"22";"Objective: To summarize existing evidence on the effect of serum folate and vitamin B12 levels on cognitive impairment among elders via a meta-analysis, also including unpublished data from a cross-sectional study of seniors (> 65 years) residing in Velestino, Greece. Method: Serum measurements and Mini-Mental State Examination (MMSE) assessments were available for 593 Velestinians. In addition, 12 studies availing data on folate blood levels (N = 9,747) and 9 on B12 (N = 8,122) were identified following a search algorithm; pooled effect estimates were derived. Results: Cognitive impairment (MMSE < 24) among Velestenians was associated with lower education level in both genders; decreased social activity, depressive symptoms and low folate levels in males; older age in females. Meta-analyses showed an adverse effect of low-folate levels on cognition (OR: 1.66, 95% CI: 1.40-1.96); B12 was nonsignificantly associated (OR: 1.11, 95% CI: 0.88-1.40). Discussion: Low folate levels are associated with cognitive impairment of seniors; underlying pathophysiological mechanisms should be further explored. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)"
"23";"Previous neuroimaging studies have implicated the prefrontal cortex (PFC) and nearby brain regions in deception. This is consistent with the hypothesis that lying involves the executive control system. To date, the nature of the contribution of different aspects of executive control to deception, however, remains unclear. In the present study, we utilized an activation likelihood estimate (ALE) method of meta-analysis to quantitatively identify brain regions that are consistently more active for deceptive responses relative to truthful responses across past studies. We then contrasted the results with additional ALE maps generated for 3 different aspects of executive control: working memory, inhibitory control, and task switching. Deception-related regions in dorsolateral PFC and posterior parietal cortex were selectively associated with working memory. Additional deception regions in ventrolateral PFC, anterior insula, and anterior cingulate cortex were associated with multiple aspects of executive control. In contrast, deceptionrelated regions in bilateral inferior parietal lobule were not associated with any of the 3 executive control constructs. Our findings support the notion that executive control processes, particularly working memory, and their associated neural substrates play an integral role in deception. This work provides a foundation for future research on the neurocognitive basis of deception. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)"
"24";"This report presents the results of several meta-analyses in which samples in the articles published in Journal of Applied Psychology , Journal of Occupational and Organizational Psychology and Personnel Psychology from 1983 to 1994 were integrated. The findings show that in the last decade a small increase in sample size has been observed in relation to sample size of studies published two or three decades ago. However, the mean sample continues to be of a small size. This last finding suggests that sampling error continues to be the most important artifactual error for explaining the variability of validity coefficients. Some implications for the confidence intervals and power analysis are discussed. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"25";"Objective: To provide an expert review of the clinical management of hypoactive sexual desire disorder. Method: The importance of diagnosing and providing therapeutic management for hypoactive sexual desire disorder will be explained with a case scenario which is resolved by drawing on original trial publications and meta-analyses published in English. Results: Hypoactive sexual desire disorder (HSDD) is highly prevalent (9–16%) and has a strong impact on the quality of life of both women and their partners. Medical and sexual history, physical and laboratory examinations as well as validated questionnaires will help us make an accurate diagnosis. Treatment should begin by focusing on lifestyle and psychosexual therapy. Women randomized to oestrogen–testosterone transdermal patch combination or testosterone transdermal patch alone reported significantly increased frequency of satisfying sexual activity (p < 0.05). Hormonal treatment with oestrogen and testosterone or with testosterone alone should be personalized, as should follow-up. Conclusions: Guidelines for the medical management of hypoactive sexual desire disorder are now available and this starts by understanding the importance of this disorder and knowing that accurate diagnosis and treatment options exist. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
