"";"x"
"11";"In ""Play, dreams and imitation in childhood"" (PDI), Jean Piaget provided an extensive corpus of situations in which children and adults interact, both verbally and nonverbally. These examples are the foundation upon which he built his theory of the early levels of development, upholding the thesis of a cognitive continuum between accommodation, imitation and symbolic representation, and firmly criticizing the hypothesis of the decisive role of the ""social life"" in this evolution. The author proposes a reinterpretation of the corpus contained in PDI, which brings to light that Piaget does not sufficiently take into account the adult's interventions at work during these interactions. The reanalysis confirms the primacy of accommodation over imitation, and agrees with Piaget that ""social life"" does not intervene, as such, in the development. However, it is only adult activity that proposes the social significations whose internalization will give rise to the symbolic representation, and that transforms the elementary psychical functioning into the specific functioning of human thought. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"12";"Objective: To investigate the effect of including unpublished trial outcome data obtained from the Food and Drug Administration (FDA) on the results of meta-analyses of drug trials. Design: Reanalysis of meta-analyses. Data sources: Drug trials with unpublished outcome data for new molecular entities that were approved by the FDA between 2001 and 2002 were identified. For each drug, eligible systematic reviews containing at least one meta-analysis were identified by searches of Medline, Embase, and the Cochrane Library in November 2010. Selection criteria: Eligible systematic reviews were done after FDA approval of the drug, were published in English, and had outcomes and comparators that were the same as those of the trials with unpublished FDA trial outcomes, and the characteristics of participants in the systematic reviews were consistent with the FDA approved indication for the drug. Clinical guidelines, conference proceedings, duplicate systematic reviews, and systematic reviews in which included trials were not referenced or that combined trials across multiple drug classes were excluded. Systematic reviews using non-standard meta-analytic techniques (such as Bayesian or network meta-analyses) and those that used inappropriate or invalid methods for calculation of summary statistics (such as unweighted pooled analyses) were also excluded. Data extraction: Two authors independently extracted data from both the published systematic reviews and the FDA’s medical and statistical reviews of the trials submitted to FDA. Main outcome measure: Summary statistics (risk ratios, odds ratios, or weighted mean differences) for relevant outcomes with and without unpublished FDA trial data. Results: 42 meta-analyses (41 efficacy outcomes, one harm outcome) for nine drugs across six drug classes were reanalysed. Overall, addition of unpublished FDA trial data caused 46% (19/41) of the summary estimates from the meta-analyses to show lower efficacy of the drug, 7% (3/41) to show identical efficacy, and 46% (19/41) to show greater efficacy. The summary estimate of the single harm outcome showed more harm from the drug after inclusion of unpublished FDA trial data. Conclusion: The effect of including unpublished FDA trial outcome data varies by drug and outcome. Unpublished FDA trial outcome data should be available and included in meta-analysis. Making these data easily accessible is particularly important because the effects of including unpublished data vary. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"13";"The magnitude estimation of taste intensity has often produced exponents greater than 1, suggesting that the perceived intensity of some taste stimuli increases at a faster rate than does stimulus concentration (i.e., the psychophysical functions are positively accelerating). However, a reanalysis of published data reveals that when these magnitude scales are replotted in linear coordinates, instead of the conventional log–log form, there is often no evidence of positive acceleration and the numerical value of the exponent bears no reliable relationship to the shape of its psychophysical function. Reasons for this finding are discussed and the implications for taste research are noted. (35 ref) (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"14";"Presents the design, implementation and simulation results of a psycholinguistic model of human syntactic processing that meets major empirical criteria. The parser operates in conjunction with a lexicalist grammar and is driven by syntactic information associated with heads of phrases. The dynamics of the model are based on competition by lateral inhibition. Input words activate lexical frames in the mental lexicon, and a network of candidate 'unification links' is set up between frame nodes. These links represent tentative attachments that are graded rather than all-or-none. Candidate links that, due to grammatical or 'treehood' constraints, are incompatible, compete for inclusion in the final syntactic tree by sending each other inhibitory signals that reduce the competitor's attachment strength. The outcome of these local and simultaneous competitions is controlled by dynamic parameters. Simulations are reported of a significant range of psycholinguistic parsing phenomena in both normal and aphasic speakers of English: (i) various effects of linguistic complexity; (ii) effects of local and global ambiguity, and of word-class and syntactic ambiguity; (iii) certain difficulty-of-reanalysis effects; and (iv) effects of agrammatism on parsing performance. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"15";"This article presents a reanalysis of the data of 862 second and fourth graders collected in two previous studies, focusing on the influence of method (psychometric vs. chronometric) and stimulus type on the gender difference in mental-rotation accuracy. The children had to solve mental-rotation tasks with animal pictures, letters, or cube figures, either in a chronometric condition (computerized) or in a psychometric condition (paper-and-pencil). Results show a slight male advantage in mental-rotation accuracy, which is neither influenced by method nor by stimulus type. However, mental-rotation accuracy differed between the stimulus types, with the highest accuracy in animal pictures and the lowest accuracy in cube figures, and between age groups, with better performance in fourth graders than in second graders in both conditions. Results show that psychometric and chronometric mental-rotation tests with all the stimulus types are more or less similarly usable with children of that age. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"16";"Recently, a number of model selection heuristics (i.e. DIFFIT, CORCONDIA, the numerical convex hull based heuristic) have been proposed for choosing among Parafac and/or Tucker3 solutions of different complexity for a given three-way three-mode data set. Such heuristics are often validated by means of extensive simulation studies. However, these simulation studies are unrealistic in that it is assumed that the variance in real three-way data can be split into two parts: structural variance, due to a true underlying Parafac or Tucker3 model of low complexity, and random noise. In this paper, we start from the much more reasonable assumption that the variance in any real three-way data set is due to three different sources: (1) a strong Parafac or Tucker3 structure of low complexity, accounting for a considerable amount of variance, (2) a weak Tucker3 structure, capturing less prominent data aspects, and (3) random noise. As such, Parafac and Tucker3 simulation studies are run in which the data are generated by adding a weak Tucker3 structure to a strong Parafac or Tucker3 one and perturbing the resulting data with random noise. The design of these studies is based on the reanalysis of real data sets. In these studies, the performance of the numerical convex hull based model selection method is evaluated with respect to its capability of discriminating strong from weak underlying structures. The results show that in about two-thirds of the simulated cases, the hull heuristic yields a model of the same complexity as the strong underlying structure and thus succeeds in disentangling strong and weak underlying structures. In the vast majority of the remaining third, this heuristic selects a solution that combines the strong structure and (part of) the weak structure. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"17";"Language comprehension is assumed to proceed incrementally, and comprehenders commit to initial interpretations even in the absence of unambiguous information. Initial ambiguous object arguments are therefore preferably interpreted as subjects, an interpretation that needs to be revised towards an object initial interpretation once the disambiguating information is encountered. Most accounts of such grammatical function reanalyses assume that they involve phrase structure revisions, and do not differ from other syntactic reanalyses. A number of studies using measurements of event-related brain potentials (ERPs) provide evidence for this view by showing that both reanalysis types engender similar neurophysiological responses (e.g., P600 effects). Others have claimed that grammatical function reanalyses rather involve revisions of the mapping of thematic roles to argument noun phrases (NPs). In line with this, it has been shown that grammatical function reanalysis during spoken language comprehension engenders a N400 effect, an effect which has been shown to correlate with general problems in the mapping of thematic roles to argument NPs in a number of languages. This study investigated the ERP correlate to grammatical function reanalysis in Swedish. Postverbal NPs that disambiguated the interpretation of object-topicalised sentences towards an object-initial reading engendered a N400 effect with a local, right-parietal distribution. This ""reanalysis N400"" effect provides further support for the view that grammatical function reanalysis is functionally distinct from syntactic reanalyses and rather involves a revision of the mapping of thematic roles to the sentence arguments. Postverbal subject pronouns in object-topicalised sentences were also found to engender an enhanced P300 wave in comparison to object pronouns, an effect which seems to depend on the overall infrequency of object-topicalised constructions. This finding provides support for the view that the ‘‘reanalysis N400’’ in some cases can be attenuated by a task-related P300 component. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"18";"Suggests a definitional framework of the work/nonwork domain. The definition was tested by applying a smallest space analysis to a reanalysis of D. M. Rousseau's (see record [rid]1979-09967-001[/rid]) data. An empirical double-ordered conceptual system, a radex structure, was obtained, reflecting the 2 facets of the definition: behavior modality (instrumental, affective, and cognitive) and life areas (work and nonwork). The facet approach suggests that the various aspects of the domain may be characterized by different patterns of relationships. Results show a segmented type of relationship in the cognitive region and spillover in the instrumental region, thus supporting the facet approach rather than conventional approaches. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"19";"During language comprehension, people sometimes have to revise their grammatical analysis of a sentence. Experimental evidence demonstrates that such reanalysis often causes processing difficulty. We might therefore predict that reanalysis would be disfavored, with the processor preferring not to reanalyze when it had a choice. Three experiments on complement–clause ambiguities investigate the conditions under which the processor chooses to reanalyze. We contrast two extreme positions, one where the processor avoids reanalysis whenever possible, the other where reanalysis is not disfavored at all. We also consider intermediate positions, in which the preference to maintain the current analysis is one factor that affects ambiguity resolution. The experiments demonstrate that the processor avoids reanalysis even when other factors would support it. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"20";"Criticizes an earlier article by W. Kroeber-Riel (see record [rid]1980-24342-001[/rid]) on the use of psychobiological approaches in consumer research. It is argued that Kroeber-Riel's theoretical network, which is based on the consolidation theory of memory, is incomplete and that his operational definitions are inadequate. In addition, the implied causal network was not tested. Reanalysis of the data using a step-down F procedure is recommended. (16 ref) (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"21";"A statistical analysis of Schmeidler's data in a clairvoyance experiment is presented. Position-scoring is significant in neither of two groups of subjects considered separately, but it is highly significant when the two are pooled. This suggests that reanalysis of previous findings may be necessary, where the scorings of subjects with differing attitudes were combined for statistical treatment; apparently significant scoring effects may then disappear. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"22";"Reanalysis is a well-known process of language change in morpho-syntax. However, the semantic composition of sentence meanings can also undergo reanalysis and lead to meaning changes for parts of the sentence. The article provides the basic notions of compositional semantics �<U+FFFD>�pragmatics that underlie semantic reanalysis, surveys possible constellations and causes of reanalysis, and contrasts the process to other ways of semantic change. I will, moreover, illustrate semantic reanalysis on basis of a case study which highlights some of its typical features. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"23";"Reports an error in the original article by E. A. Maylor (Psychology and Aging, 1993[Sep], Vol 8[3], 420–428). There is an error in the picture recognition data. This was one of the tasks administered in an earlier group testing session (see page 421). The number of false positives for an older S was incorrectly entered onto the data sheet as 31 instead of only 13. (The following abstract of this article originally appeared in record [rid]1994-01191-001[/rid].) Ss (aged 52–83 yrs) named 30 famous people 4 times over the course of an hour and responded to 2 targets (a beard and a pipe) by marking the trial number on the response sheet. Initial performance in the prospective memory task was related only to a measure of incidental learning. Subsequent forgetting (i.e., success followed by failure) occurred more often for older Ss than for younger Ss, but there was no difference between the age groups in recovery (i.e., failure followed by success). Forgetting was predicted by age, even after a composite measure of general ability was included in the regression. Recovery was related to general ability alone. Results both replicate and extend those from a reanalysis of a previous study (E. A. Maylor, 1990). They provide a striking contrast with the effect of age on retrospective memory.… (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"24";"A brief review of theories of the causes of handedness shows why the major determinant is probably accidental variation, modified in man by a genetic factor inducing dextral bias. J. Levy's criticisms (see PA, Vols 57:7642 and 59:7362) of the author's (1973) study of family handedness in 3,644 University of Hull students are answered by consideration of other studies and reanalysis of the author's data using different criteria. The data are incompatible with the Levy-Nagylaki model of the genetics of handedness. New data on family preferences in 2 further student samples support the author's findings. Data on manual skill in families are more consistent with an accidental than with a polygenic origin of human variability in handedness. (30 ref) (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"25";"Depressive symptomatology is an important target of treatment in first episode schizophrenia. This reanalysis of the European First Episode Schizophrenia Trial (EUFEST) describes the depressive symptomatology and the effect of antipsychotic treatment in patients suffering from first episode schizophrenia and schizophreniform disorder randomized to treatment with low dose haloperidol (n = 103), amisulpride (n = 104), olanzapine (n = 105), quetiapine (n = 104) or ziprasidone (n = 82) for one year. At baseline, the mean score on the Calgary Depression Scale for Schizophrenia (CDSS) was 5.1 (±4.9) with 38.3% of patients having a CDSS score ≥6, i.e. clinically relevant depressive symptom severity. During treatment depression scores decreased, the mean CDSS score being 1.1 (±2.1) and 3.0% of patients having a CDSS≥6 at 52 weeks. The proportion of patients using antidepressants during the complete trial was 18.5% in the haloperidol group, 28.6% in the olanzapine group compared to 5.8% in the quetiapine group, 12.5% in the amisulpride group, and 9.8% in the ziprasidone group. There were no differences over time in the probability of being depressed (CDSS≥6) between the 5 treatment groups after adjustment for antidepressant use, nor in a sub analysis of patients who did not take any antidepressant. Depression scores at baseline or during the trial had no effect on treatment discontinuation or on the reduction of positive symptoms. In summary, the results of EUFEST did not demonstrate a differential effect of the antipsychotics studied on depressive symptomatology in patients with first episode schizophrenia. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
