"";"x"
"11";"Reviews the book, Pain management: Evidence, outcomes and quality of life--A sourcebook edited by Harriët Wittink and Daniel Carr (2008). There is a significant need to understand the phenomena of pain and to know which treatments reduce pain. Currently, insufficient evidence based data are available for many pain treatments to enable reliable evaluation of effectiveness. The collections of invited chapters contained in this book go some way to bridging this gap. The focus of this book is on topics relating to effective pain management. The book contains 24 chapters that have relevance for clinicians, educators and researchers of all health disciplines. Topics covered in the book are comprehensive including health outcomes and treatment effectiveness in pain medicine, qualitative research with people who live with chronic pain, determining and measuring patient treatment preferences, assessment of pain in clinical trials, the placebo effect in clinical pain trials, systematic reviews and meta-analyses of intervention studies, paediatrics and pain outcomes, headache and outcomes measurement in cancer pain. This text makes an important contribution to health professionals across disciplines that are requiring a resource for the use of measures and tools that may be used to assess evidence surrounding medical interventions to relieve pain. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"12";"Reports an error in ""Cancer-related fatigue: A systematic and meta-analytic review of non-pharmacological therapies for cancer patients"" by Maria Kangas, Dana H. Bovbjerg and Guy H. Montgomery (Psychological Bulletin, 2008[Sep], Vol 134[5], 700-741). The URL to the Supplemental Materials for the article is listed incorrectly in two places in the text. The incorrect listings appear on p. 704 (in the last two lines of the third paragraph) and on p. 705 (in the third and fourth lines of the first paragraph in the second column). The correct URL for the Supplemental Materials is http://dx.doi.org/10.1037/a0012825.supp, which is provided on the first page of the article beneath the abstract. (The following abstract of the original article appeared in record [rid]2008-11487-005[/rid].) Cancer-related fatigue (CRF) is a significant clinical problem for more than 10 million adults diagnosed with cancer each year worldwide. No ""gold standard"" treatment presently exists for CRF. To provide a guide for future research to improve the treatment of CRF, the authors conducted the most comprehensive combined systematic and meta-analytic review of the literature to date on non-pharmacological (psychosocial and exercise) interventions to ameliorate CRF and associated symptoms (vigor/vitality) in adults with cancer, based on 119 randomized controlled trials (RCTs) and non-RCT studies. Meta-analyses conducted on 57 RCTs indicated that exercise and psychological interventions provided reductions in CRF, with no significant differences between these 2 major types of interventions considered as a whole. Specifically, multimodal exercise and walking programs, restorative approaches, supportive-expressive, and cognitive-behavioral psychosocial interventions show promising potential for ameliorating CRF. The results also suggest that vigor and vitality are distinct phenomena from CRF with regard to responsiveness to intervention. With improved methodological approaches, further research in this area may soon provide clinicians with effective strategies for reducing CRF and enhancing the lives of millions of cancer patients and survivors. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"13";"Music therapy outcome research frequently involves comparisons between groups on continuous scales of psychological constructs. Describing such differences only through statistical tests reduces the existing complexity and creates an artificial and potentially misleading dichotomy. The interpretation of the magnitude of a difference found on a psychological scale is often not straightforward, but can be greatly facilitated and improved by using effect sizes. Cohen's (1988) benchmarks allow for intuitive judgements and enable comparisons between different scales. An example of a study of the effects of music therapy on self-esteem shows how the use of effect sizes can change the interpretation of a research result. Effect sizes have important applications in many fields of music therapy research, including primary studies as well as meta-analyses, and planning of research as well as reporting of research results. Because of their intuitiveness, they may help to bridge the ""gap"" between research and clinical practice. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"14";"This paper reports results from two meta-analyses of the potential individual-level outcomes of exposure to workplace bullying. After introducing a theoretical framework for the possible relationships between bullying and outcomes, Study 1 summarizes 137 cross-sectional effect sizes from 66 independent samples (N = 77,721). The findings show that exposure to bullying is associated with both job-related and health- and well-being-related outcomes, such as mental and physical health problems, symptoms of post-traumatic stress, burnout, increased intentions to leave, and reduced job satisfaction and organizational commitment. Nonsignificant or weak associations were established for absenteeism, performance, self-perceptions, and sleep. Study 2 examines longitudinal relationships between bullying and mental health and absenteeism, respectively. Based on prospective associations from 13 samples (N = 62,916), workplace bullying influenced mental health problems over time, while baseline mental health problems were associated with a similar increased risk of subsequent reports of exposure to bullying. The long-term effect of exposure to bullying on absenteeism was rather weak. To summarize, the two meta-analyses provide robust evidence for the detrimental effects of workplace bullying that are in line with the theoretical framework presented. The findings have implications for the development of strategies against bullying. Directions for future research are discussed. (PsycINFO Database Record (c) 2013 APA, all rights reserved). (journal abstract)"
"15";"Introduction: The occurrence of depression during pregnancy is a frequent situation that must be distinguished from postpartum depression. It raises many questions regarding its complications and therapeutic options. Objectives: To provide a systematic review of available data on prevalence, risk factors, and adverse outcomes of antepartum depression, as well as on screening tools and treatments currently available. Methods: Studies, reviews, and meta-analyses were searched through the Pubmed and Embase databases. Articles related to postpartum depression or specifically focusing on bipolar disorder were excluded. Results: Epidemiology: Prevalence is estimated between 5 and 15%. Risk factors, in addition to those of any depression, are an ambivalent attitude towards pregnancy, previous miscarriages, and medically-assisted or complicated pregnancies. Diagnosis and screening: No specific tool has yet been designed to diagnose or screen antepartum depression, but some scales (EPDS, PRIME-MD PHQ) have been validated. Adverse outcomes: For the mother, adverse outcomes are those of any depression, in addition to an increased risk of delivery complications and of postpartum depression. For the child, there is an increased risk for preterm birth, low birth-weight, and possibly sudden death. Treatments: Tricyclic antidepressants are widely described as safe during pregnancy. SSRIs show much reassuring data, even though recent studies have raised concerns about cardiac malformations and persistent pulmonary hypertension of the newborn. Electroconvulsive therapy is only indicated in the most severe cases but appears secure under specific safety measures. Most psychotherapies have not been specifically assessed during pregnancy. Other treatments (bright light therapy, rTMS…) have shown some promising but not robust results. Conclusion: Antepartum depression is frequent, and potentially severe if not treated. Validation of specific screening tools is warranted. Pharmacological treatment should not be postponed in cases of severe depression. Regarding moderate depressions, it appears reasonable to turn to non-pharmacological treatments, primarily psychotherapies, which therefore should be more thoroughly studied. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"16";"Aim: To determine the effects of computer-based interventions aimed at reducing alcohol consumption in adult populations. Methods: The review was undertaken following standard Cochrane and Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidance for systematic reviews. The literature was searched until December 2008, with no restrictions on language. Randomized trials with parallel comparator groups were identified in the form of published and unpublished data. Two authors independently screened abstracts and papers for inclusion. Data extraction and bias assessment was undertaken by one author and checked by a second author. Studies that measured total alcohol consumption and frequency of binge drinking episodes were eligible for inclusion in meta-analyses. A random-effects model was used to pool mean differences. Results: Twenty-four studies were included in the review (19 combined in meta-analyses). The meta-analyses suggested that computer-based interventions were more effective than minimally active comparator groups (e.g. assessment-only) at reducing alcohol consumed per week in student and non-student populations. However, most studies used the mean to summarize skewed data,which could be misleading in small samples. A sensitivity analysis of those studies that used suitable measures of central tendency found that there was no difference between intervention and minimally active comparator groups in alcohol consumed per week by students. Few studies investigated non-student populations or compared interventions with active comparator groups. Conclusion: Computer-based interventions may reduce alcohol consumption compared with assessment-only; the conclusion remains tentative because of methodological weaknesses in the studies. Future research should consider that the distribution of alcohol consumption data is likely to be skewed and that appropriate measures of central tendency are reported. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"17";"Objectives: We integrated and compared meta-analytic findings across diverse behavioral interventions to characterize how well they have achieved change in health behavior. Methods: Outcomes from 62 meta-analyses of interventions for change in health behavior were quantitatively synthesized, including 1011 primary-level investigations with 599559 participants. Content coding suggested 6 behavioral domains: eating and physical activity, sexual behavior, addictive behaviors, stress management, female-specific screening and intervention behaviors, and behaviors involving use of health services. Results: Behavior change interventions were efficacious (mean effect sizes = 0.08–0.45). Behavior change was more evident in more recent metaanalyses; those that sampled older interventions and literatures or sampled more published articles; those that included studies that relied on self-report, used briefer interventions, or sampled fewer, older, or female participants; and in some domains (e.g., stress management) more than others (e.g., sexual behaviors). Conclusions: Interventions improved health-related behaviors; however, efficacy varied as a function of participant and intervention characteristics. This meta-synthesis provides information about the efficacy of behavioral change interventions across health domains and populations; this knowledge can inform the design and development of public health interventions and future meta-analyses of these studies. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"18";"This study presents a meta-analysis of 25 individual differences proposed to be related to effective leadership, with an emphasis on comparing trait-like (e.g. personality and intelligence) to state-like individual differences (e.g. knowledge and skills). The results indicate that although both trait-like (achievement motivation, energy, dominance, honesty/integrity, self-confidence, creativity, and charisma) and state-like (interpersonal skills, oral communication, written communication, administrative/management skills, problem-solving skills, and decision making) individual differences were consistent predictors of effective leadership, the impact of trait-like and state-like individual differences was modest overall and did not differ substantially (�<U+FFFD> = .27 and .26, respectively). Finally, organizational level of the leader, method of predictor and criterion measurement, and organization type moderated the relationship between individual differences and effective leadership. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"19";"Interventional pain management techniques are considered for patients whose pain proves refractory to conventional treatment. According to the evidence-based medicine (EBM) guidelines, the highest level of evidence for efficacy and safety of a treatment is generated in high-quality randomized controlled trials and systematic reviews. A randomized controlled trial is defined as an experiment that determines the influence of an intervention on the natural history of the disease, which means that the comparative group should receive placebo, which is a sham intervention in case of the interventional pain management techniques. The systematic review summarizes in a structured way the results of the available information. When randomized controlled trials are available, observational studies will often be discarded. As new information on a treatment becomes available the perceived value may change, thus determining the survival time of clinical evidence. This survival time is not different when based on randomized or nonrandomized studies. The inclusion criteria are an important component of the randomized controlled trial and are designed to test a treatment in a homogeneous patient population. As interventional pain management techniques are mainly used for the management of spinal pain, it needs to be stressed that there is no gold standard for the diagnosis. This lack of validated standard diagnostic procedures is at the origin of different patient selection criteria, which makes the interpretation of the different randomized controlled trials and the meta-analyses very difficult. Moreover, the extrapolation of randomized controlled trials with carefully selected patient populations to daily practice is a major problem. Randomized controlled trials in interventional pain management techniques often prove to be underpowered, which can be attributed to the difficulty in motivating patients and the referring physicians to participate in a trial where there is 50% chance of receiving a placebo/sham for intractable pain. Furthermore, the validity of sham intervention as a reflection of the natural course of the disease is questioned. It is stated that any new technique should prove to be at least equally effective as the best available treatment option, which offers the possibility of comparing two groups, both receiving active treatment. The reference treatment may be pharmacological or a rehabilitation program (cognitive behavioral) in which case blinding becomes a problem. It has been demonstrated that large observational studies with a cohort or case-control design do not systematically overestimate the magnitude of the associations between exposure and outcome as compared with the results of randomized controlled trials. There is an urgent need for guidelines on performing prospective cohort trials that should be designed to confirm or refute the anecdotal findings from retrospective studies. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"20";"The Ainu are an ethnic minority in northern Japan. Their overall IQ was estimated to be somewhat below that of the Japanese (97.2) from the meta-analysis of mostly pre-war Japanese data (N =975). Moreover, they may have higher cranial capacity than Japanese and their IQ profile is leaning toward non-verbal skills, which suggest a genetic relationship to Arctic peoples. (PsycINFO Database Record (c) 2014 APA, all rights reserved). (journal abstract)"
"21";"Blushing was recently introduced in the DSM�<U+FFFD>5 as a “hallmark�<U+FFFD> physiological response of social anxiety disorder, and it is now acknowledged as an important aspect of social anxiety. Three meta�<U+FFFD>analyses were performed to examine the association between blushing and social anxiety. The relationship between blushing and social anxiety was strong for self�<U+FFFD>perceived blushing, small for physiological blushing, and medium for observed blushing. In addition, the relationship between self�<U+FFFD>perceived blushing and social anxiety was stronger when social anxiety was measured as a state and when blushing was measured using questionnaires with five or more items. Results suggest that socially anxious people perceive themselves as blushing more than do less socially anxious people and overestimate the intensity of their physiological blushing. (PsycINFO Database Record (c) 2015 APA, all rights reserved). (journal abstract)"
"22";"Dual-task methodology has been increasingly used to assess cognitive motor interference while walking. However, whether the observed dual-task-related gait changes are systematically related to methodological variations remains unclear and researchers still lack knowledge of what cognitive task to use in different groups for clinical purposes or for research. We systematically reviewed experimental studies that measured gait performance with and without performing concurrent cognitive task. Our results suggest that cognitive tasks that involve internal interfering factors seem to disturb gait performance more than those involving external interfering factors. Meta-analysis results show that the overall effect of different cognitive tasks was prominent in gait speed. In healthy participants, meta-regression analysis suggests strong associations between age and speed reduction under dual-task conditions and between the level of cognitive state and speed reduction under dual-task conditions. Standardizing research methodologies, as well as improving their ecological validity, enables better understanding of dual-task-related gait changes in different populations and improves, in turn, our understanding of neural mechanisms and gait control in general in content. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"23";"Reports an error in ""Efficacy of escitalopram in the treatment of major depressive disorder compared with conventional selective serotonin reuptake inhibitors and Venlafaxine XR: A meta-analysis"" by Sidney H. Kennedy, Henning F. Andersen and Raymond W. Lam (Journal of Psychiatry & Neuroscience, 2006[Mar], Vol 31[2], 122-131). The following article should have been cited as reference 16 instead of the article that is currently cited: Baldwin DS, Cooper JA, Huusom AKT, et al. A double-blind, randomized, parallel-group, flexible-dose study to evaluate the tolerability, efficacy and effects of treatment discontinuation with escitalopram and paroxetine in patients with major depressive disorder. Int Clin Psychopharmacol 2006; 21:159-69. (The following abstract of the original article appeared in record [rid]2007-03392-007[/rid]). Objective: Escitalopram is the most selective of the selective serotonin reuptake inhibitor (SSRI) antidepressants. Previous studies have suggested that escitalopram is superior to citalopram in efficacy. We conducted a meta-analysis of studies in which escitalopram was compared with other antidepressants to assess the relative efficacy of these agents. Methods: Data from all randomized, double-blind studies in major depression in which escitalopram was compared with active controls (citalopram, fluoxetine, paroxetine, sertraline and venlafaxine XR [extended release]) were pooled. The 10 studies were conducted in both specialist settings and general practice. Patients met the criteria of the Diagnostic and Statistical Manual of Mental Disorders, fourth edition (DSM-IV), for major depressive disorder and were at least 18 years old. In all but 2 studies, patients were required to have a score of 22 or more on the Montgomery-Åsberg Depression Rating Scale (MADRS). The primary outcome measure was the estimated difference in treatment effect in MADRS total score at the end of the study. Secondary outcome measures were the response to treatment (defined as a ≥ 50% reduction in baseline MADRS total score) and remission rate (defined as MADRS total score ≤ 12 at end of study). Results: A total of 2687 patients were included in the analyses (escitalopram n = 1345, conventional SSRIs n = 1102, venlafaxine XR n = 240). Escitalopram was superior to all comparators in overall treatment effect, with an estimated difference in treatment effect of 1.07 points (95% confidence interval [CI] 0.42-1.73, p < 0.01), and in response (odds ratio [OR] 1.29, 95% CI 1.07-1.56, p < 0.01) and remission (OR 1.21, 95% CI 1.01-1.46, p < 0.05) rates. In analysis by medication class, escitalopram was significantly superior to the SSRIs and comparable to venlafaxine, although the overall results do not necessarily reflect a significant difference between escitalopram and individual SSRIs. These results were similar in the severely depressed population (patients with baseline MADRS ≥ 30). The withdrawal rate due to adverse events was 6.7% for escitalopram compared with 9.1% for the comparators (p < 0.05). Conclusions: In this meta-analysis, escitalopram showed significant superiority in efficacy compared with the active controls. (PsycINFO Database Record (c) 2012 APA, all rights reserved)"
"24";"This paper examines the impact of quality-score weights in meta-analysis. A simulation examines the roles of study characteristics such as population effect size (ES) and its variance on the bias and mean square errors (MSEs) of the estimators for several patterns of relationship between quality and ES, and for specific patterns of systematic deviations related to quality differences. The bias and MSEs of the estimators are large when ESs from low-quality studies deviate from the population ES in specific ways, and bias does not approach zero in these cases. Because meta-analysts can never know whether biases due to quality exist, and because quality weights lead to bias in almost every condition studied, we recommend against the use of quality weights. (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
"25";"To examine agreement on Rorschach Comprehensive System (CS; Exner, 2004) interpretations, 55 patient protocols were interpreted by 3 to 8 clinicians across 4 data sets on a representative set of 29 characteristics. Substantial reliability was observed across data sets, although a problematic design produced lower results in one. Unexpectedly, a Q-sort task had slightly lower reliability than a simple rating task. As expected, scales that summarized judgments had higher agreement than judgments to individual interpretive statements, and some clinicians produced more generalizable inferences than others. Interpretations for all clinicians were more strongly associated with patients' psychometric true scores (aggregated judgment M range = .82 to .92) than with the judgments of other clinicians (range = .76 to .89). Compared to meta-analyses of interrater reliability in psychology and medicine, the findings indicate these clinicians could reliably interpret Rorschach CS data (PsycINFO Database Record (c) 2012 APA, all rights reserved). (journal abstract)"
